Train_Number_All,isReturn,isOneway,dept_datetime
A,0,0,2010/9/19
B,1,0,2019/5/27
B,1,0,2020/5/31
C,1,0,2012/10/19
B,1,0,2020/5/31
D,1,0,2020/5/23
E,1,0,2019/5/23
C,1,0,2019/10/18
F,0,0,2019/10/14
G,1,0,2008/12/19
B,1,0,2020/4/30
H,0,0,2008/9/19
B,1,0,2020/4/30
I,1,0,2005/9/20
D,1,0,2019/12/31
F,0,0,2005/4/20
D,1,0,2019/12/31
D,1,0,2019/12/13
J,0,0,2012/11/19
B,1,0,2005/7/19
K,1,0,2019/12/18
D,1,0,2019/5/22
B,1,0,2019/8/31
D,1,0,2012/12/19
A,0,0,2019/5/18
E,0,0,2012/7/19
B,1,0,2019/9/14
C,1,0,2003/7/19
H,0,0,2003/5/19
B,1,0,2010/1/19
I,1,0,2019/12/31
I,1,0,2019/6/30
C,1,0,2005/11/19
C,1,0,2005/10/19
B,1,0,2019/8/16
C,1,0,2010/6/19
F,0,0,2005/6/19
L,0,1,2019/11/18
F,0,0,2010/1/19
B,1,0,2019/5/30
I,1,0,2019/7/20
M,0,0,2008/9/19
B,1,0,2019/10/25
J,0,0,2019/10/22
F,0,0,2019/7/15
C,1,0,2019/6/30
G,1,0,2019/3/16
B,1,0,2020/1/24
I,1,0,2019/12/20
J,0,0,2003/1/19
F,0,0,2003/12/19
K,0,1,2019/11/22
G,1,0,2019/3/16
D,1,0,2005/1/19
B,1,0,2019/4/26
F,0,0,2003/12/19
G,1,0,2019/12/31
G,1,0,2019/5/28
E,0,0,2019/4/24
F,0,0,2003/10/19
I,1,0,2019/12/20
E,0,0,2019/5/26
C,1,0,2019/6/30
B,1,0,2010/8/19
G,1,0,2019/7/25
D,1,0,2019/6/22
E,0,0,2019/7/22
B,1,0,2019/11/24
K,1,0,2002/2/19
B,1,0,2019/11/23
I,1,0,2019/11/23
B,1,0,2019/11/24
D,1,0,2019/11/23
J,0,0,2019/6/16
E,0,0,2019/11/20
F,0,0,2019/11/20
F,0,0,2019/11/19
C,1,0,2019/12/24
I,1,0,2004/10/19
C,1,0,2019/9/30
J,0,0,2019/11/18
I,1,0,2007/12/19
H,0,0,2004/8/19
I,1,0,2012/7/19
B,1,0,2019/2/21
C,1,0,2019/2/24
F,0,0,2003/1/19
E,0,0,2007/8/19
L,0,0,2019/2/18
F,0,0,2012/3/19
B,1,0,2019/6/30
I,1,0,2001/1/19
C,1,0,2019/5/24
D,1,0,2001/11/20
B,1,0,2018/12/29
C,1,0,2019/1/25
I,1,0,2019/4/17
E,0,0,2001/8/20
I,1,0,2001/2/19
E,0,0,2019/5/20
B,1,0,2019/3/30
C,1,0,2018/12/29
B,1,0,2019/8/30
G,1,0,2019/11/24
C,1,0,2019/8/30
A,0,0,2018/12/26
L,0,0,2019/1/20
B,1,0,2019/2/15
E,0,0,2019/9/17
L,1,0,2018/12/31
E,0,0,2019/11/20
F,0,0,2019/3/25
B,1,0,2009/12/19
D,1,0,2019/8/21
E,0,0,2004/10/19
E,0,0,2018/12/23
J,0,0,2009/5/19
C,1,0,2006/2/19
B,1,0,2019/8/24
J,0,0,2019/8/19
C,1,0,2019/9/30
C,1,0,2018/12/14
G,1,0,2019/2/22
J,0,0,2009/9/19
C,1,0,2009/1/19
J,1,0,2019/1/31
H,0,0,2019/2/21
I,1,0,2019/2/28
C,1,0,2019/12/20
I,1,0,2019/5/31
G,1,0,2019/12/20
B,1,0,2019/5/23
C,1,0,2019/10/21
C,1,0,2019/9/23
C,1,0,2019/1/16
G,1,0,2006/6/19
G,1,0,2012/5/19
F,0,0,2019/5/27
L,0,0,2012/11/18
H,0,0,2018/12/19
F,0,0,2019/5/27
C,1,0,2002/3/19
E,0,0,2019/1/13
B,1,0,2019/8/24
E,0,0,2019/8/25
L,0,0,2012/2/19
C,1,0,2018/12/14
C,1,0,2019/6/14
C,1,0,2019/12/20
G,1,0,2019/12/16
B,1,0,2019/6/19
H,0,0,2012/3/18
E,0,0,2009/8/19
E,0,0,2019/6/16
G,1,0,2019/5/13
J,0,0,2006/9/19
C,1,0,2019/3/17
C,1,0,2012/6/18
B,1,0,2019/10/19
B,1,0,2019/5/16
G,1,0,2019/6/13
D,1,0,2019/12/13
G,1,0,2006/12/19
C,1,0,2019/12/20
J,1,0,2003/6/19
E,0,0,2006/10/19
C,1,0,2019/5/29
D,1,0,2018/11/28
E,0,0,2019/10/15
E,0,0,2012/10/19
B,1,0,2019/2/15
L,0,0,2012/1/18
G,1,0,2008/1/19
G,1,0,2019/10/27
C,1,0,2018/11/30
D,1,0,2012/12/19
B,1,0,2009/1/19
G,1,0,2018/11/21
H,0,0,2011/12/19
E,0,0,2005/9/19
D,1,0,2018/11/24
G,1,0,2019/2/26
B,1,0,2019/12/13
B,1,0,2019/11/21
C,1,0,2012/2/18
H,0,1,2019/10/24
L,0,0,2018/11/26
M,0,0,2019/2/24
B,1,0,2009/1/19
E,0,0,2003/11/19
B,1,0,2012/2/18
C,1,0,2019/3/15
I,0,1,2019/10/18
I,1,0,2019/10/27
E,0,0,2003/4/19
B,1,0,2018/12/22
B,1,0,2019/10/28
E,0,0,2018/11/18
I,1,0,2003/8/19
C,1,0,2003/8/19
E,0,0,2019/11/15
C,1,0,2019/4/26
